Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,1,1,0,0
3.786780000,1,1,0,0,1,1,0,0
3.786806000,0,0,0,0,1,1,0,0
3.786962000,1,1,0,0,1,1,0,0
3.787014000,0,0,0,0,1,1,0,0
3.787066000,1,0,0,0,1,1,0,0
3.787067000,1,1,0,0,1,1,0,0
3.787119000,0,0,0,0,1,1,0,0
3.787171000,1,1,0,0,1,1,0,0
3.787301000,0,0,0,0,1,1,0,0
3.787353000,1,0,0,0,1,1,0,0
3.787354000,1,1,0,0,1,1,0,0
3.787379000,1,0,0,0,1,1,0,0
3.787380000,0,0,0,0,1,1,0,0
3.787405000,1,0,0,0,1,1,0,0
3.787406000,1,1,0,0,1,1,0,0
3.787588000,0,0,0,0,1,1,0,0
3.787640000,1,1,0,0,1,1,0,0
3.787692000,0,0,0,0,1,1,0,0
3.787718000,1,0,0,0,1,1,0,0
3.787719000,1,1,0,0,1,1,0,0
3.787744000,0,0,0,0,1,1,0,0
3.787796000,1,0,0,0,1,1,0,0
3.787797000,1,1,0,0,1,1,0,0
3.787849000,0,0,0,0,1,1,0,0
3.787927000,1,1,0,0,1,1,0,0
3.787953000,0,0,0,0,1,1,0,0
3.788031000,1,1,0,0,1,1,0,0
3.788057000,0,0,0,0,1,1,0,0
3.788135000,1,1,0,0,1,1,0,0
3.788161000,0,0,0,0,1,1,0,0
3.788214000,1,1,0,0,1,1,0,0
3.788318000,0,0,0,0,1,1,0,0
3.788344000,1,1,0,0,1,1,0,0
3.788422000,0,0,0,0,1,1,0,0
3.788500000,1,0,0,0,1,1,0,0
3.788501000,1,1,0,0,1,1,0,0
3.788526000,1,0,0,0,1,1,0,0
3.788527000,0,0,0,0,1,1,0,0
3.788578000,1,0,0,0,1,1,0,0
3.788579000,1,1,0,0,1,1,0,0
3.788605000,0,0,0,0,1,1,0,0
3.788630000,1,0,0,0,1,1,0,0
3.788631000,1,1,0,0,1,1,0,0
3.788709000,0,0,0,0,1,1,0,0
3.788787000,1,1,0,0,1,1,0,0
3.788813000,0,0,0,0,1,1,0,0
3.788839000,1,1,0,0,1,1,0,0
3.788917000,0,0,0,0,1,1,0,0
3.788943000,1,0,0,0,1,1,0,0
3.788944000,1,1,0,0,1,1,0,0
3.788969000,0,0,0,0,1,1,0,0
3.788995000,1,0,0,0,1,1,0,0
3.788996000,1,1,0,0,1,1,0,0
3.789021000,0,0,0,0,1,1,0,0
3.791199000,0,1,1,1,1,1,1,1
3.791225000,0,0,0,0,1,1,1,0
3.791226000,0,0,0,0,1,1,0,0
3.791381000,0,0,0,1,1,1,0,0
3.791382000,0,1,1,1,1,1,1,1
3.791433000,0,0,1,0,1,1,1,1
3.791434000,0,0,0,0,1,1,0,0
3.791460000,0,1,1,1,1,1,1,1
3.791512000,0,0,0,0,1,1,1,0
3.791513000,0,0,0,0,1,1,0,0
3.791564000,0,0,0,1,1,1,1,1
3.791565000,0,1,1,1,1,1,1,1
3.791694000,0,0,1,0,1,1,1,1
3.791695000,0,0,0,0,1,1,0,0
3.791721000,0,1,1,1,1,1,1,1
3.791746000,0,0,1,0,1,1,1,1
3.791747000,0,0,0,0,1,1,0,0
3.791773000,0,1,1,1,1,1,1,1
3.791955000,0,0,0,0,1,1,1,0
3.791956000,0,0,0,0,1,1,0,0
3.791981000,0,0,0,1,1,1,0,0
3.791982000,0,1,1,1,1,1,1,1
3.792033000,0,0,1,0,1,1,1,1
3.792034000,0,0,0,0,1,1,0,0
3.792060000,0,1,1,1,1,1,1,1
3.792085000,0,0,1,1,1,1,1,1
3.792086000,0,0,0,0,1,1,1,0
3.792087000,0,0,0,0,1,1,0,0
3.792138000,0,1,1,1,1,1,1,1
3.792190000,0,0,0,0,1,1,1,0
3.792191000,0,0,0,0,1,1,0,0
3.792242000,0,0,0,1,1,1,0,0
3.792243000,0,1,1,1,1,1,1,1
3.792268000,0,0,0,0,1,1,1,1
3.792269000,0,0,0,0,1,1,0,0
