Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,1,1,0,0
3.996076000,1,1,0,0,1,1,0,0
3.996102000,0,0,0,0,1,1,0,0
3.996258000,1,0,0,0,1,1,0,0
3.996259000,1,1,0,0,1,1,0,0
3.996310000,1,0,0,0,1,1,0,0
3.996311000,0,0,0,0,1,1,0,0
3.996363000,1,1,0,0,1,1,0,0
3.996389000,0,0,0,0,1,1,0,0
3.996441000,1,1,0,0,1,1,0,0
3.996597000,0,0,0,0,1,1,0,0
3.996650000,1,1,0,0,1,1,0,0
3.996702000,0,0,0,0,1,1,0,0
3.996728000,1,1,0,0,1,1,0,0
3.996780000,0,0,0,0,1,1,0,0
3.996806000,1,1,0,0,1,1,0,0
3.996884000,0,0,0,0,1,1,0,0
3.996937000,1,1,0,0,1,1,0,0
3.997171000,0,0,0,0,1,1,0,0
3.997223000,1,0,0,0,1,1,0,0
3.997224000,1,1,0,0,1,1,0,0
3.997458000,0,0,0,0,1,1,0,0
3.997510000,1,1,0,0,1,1,0,0
3.997536000,0,0,0,0,1,1,0,0
3.997562000,1,1,0,0,1,1,0,0
3.997744000,0,0,0,0,1,1,0,0
3.997797000,1,1,0,0,1,1,0,0
3.997823000,0,0,0,0,1,1,0,0
3.997849000,1,1,0,0,1,1,0,0
3.997875000,0,0,0,0,1,1,0,0
3.997901000,1,1,0,0,1,1,0,0
3.998005000,0,0,0,0,1,1,0,0
3.998084000,1,1,0,0,1,1,0,0
3.998162000,0,0,0,0,1,1,0,0
3.998214000,1,1,0,0,1,1,0,0
3.998240000,0,0,0,0,1,1,0,0
3.998266000,1,1,0,0,1,1,0,0
3.998292000,0,0,0,0,1,1,0,0
4.000463000,0,0,1,1,1,1,1,1
4.000464000,0,1,1,1,1,1,1,1
4.000489000,0,0,0,0,1,1,1,0
4.000490000,0,0,0,0,1,1,0,0
4.000645000,0,0,0,1,1,1,0,0
4.000646000,0,1,1,1,1,1,1,1
4.000697000,0,0,1,1,1,1,1,1
4.000698000,0,0,0,0,1,1,0,0
4.000724000,0,1,1,1,1,1,1,1
4.000749000,0,0,1,1,1,1,1,1
4.000750000,0,0,0,0,1,1,1,0
4.000751000,0,0,0,0,1,1,0,0
4.000802000,0,1,1,1,1,1,1,1
4.000958000,0,0,1,0,1,1,1,1
4.000959000,0,0,0,0,1,1,0,0
4.000984000,0,0,0,1,1,1,0,0
4.000985000,0,1,1,1,1,1,1,1
4.001036000,0,0,1,0,1,1,1,1
4.001037000,0,0,0,0,1,1,0,0
4.001063000,0,1,1,1,1,1,1,1
4.001219000,0,0,0,0,1,1,1,0
4.001220000,0,0,0,0,1,1,0,0
4.001245000,0,0,0,1,1,1,1,0
4.001246000,0,1,1,1,1,1,1,1
4.001401000,0,0,1,1,1,1,1,1
4.001402000,0,0,0,0,1,1,1,0
4.001403000,0,0,0,0,1,1,0,0
4.001454000,0,1,1,1,1,1,1,1
4.001480000,0,0,0,0,1,1,1,0
4.001481000,0,0,0,0,1,1,0,0
4.001506000,0,0,1,1,1,1,1,1
4.001507000,0,1,1,1,1,1,1,1
4.001688000,0,0,1,0,1,1,1,1
4.001689000,0,0,0,0,1,1,0,0
4.001767000,0,1,1,1,1,1,1,1
4.001792000,0,0,1,1,1,1,1,1
4.001793000,0,0,0,0,1,1,1,0
4.001794000,0,0,0,0,1,1,0,0
4.001819000,0,1,1,1,1,1,1,1
4.001871000,0,0,0,0,1,1,1,0
4.001872000,0,0,0,0,1,1,0,0
4.001949000,0,0,0,1,1,1,0,0
4.001950000,0,1,1,1,1,1,1,1
4.001975000,0,0,1,0,1,1,1,1
4.001976000,0,0,0,0,1,1,0,0
4.002027000,0,0,0,1,1,1,0,0
4.002028000,0,1,1,1,1,1,1,1
4.002053000,0,0,1,0,1,1,1,1
4.002054000,0,0,0,0,1,1,0,0
4.002080000,0,1,1,1,1,1,1,1
4.002158000,0,0,0,0,1,1,1,0
4.002159000,0,0,0,0,1,1,0,0
4.002184000,0,1,1,1,1,1,1,1
4.002210000,0,0,0,0,1,1,1,0
4.002211000,0,0,0,0,1,1,0,0
4.197675000,1,1,0,0,1,1,0,0
4.197701000,0,0,0,0,1,1,0,0
4.197857000,1,1,0,0,1,1,0,0
4.197909000,0,0,0,0,1,1,0,0
4.197962000,1,1,0,0,1,1,0,0
4.197988000,0,0,0,0,1,1,0,0
4.198040000,1,1,0,0,1,1,0,0
4.198196000,0,0,0,0,1,1,0,0
4.198248000,1,0,0,0,1,1,0,0
4.198249000,1,1,0,0,1,1,0,0
4.198300000,1,0,0,0,1,1,0,0
4.198301000,0,0,0,0,1,1,0,0
4.198326000,1,0,0,0,1,1,0,0
4.198327000,1,1,0,0,1,1,0,0
4.198379000,0,0,0,0,1,1,0,0
4.198404000,1,0,0,0,1,1,0,0
4.198405000,1,1,0,0,1,1,0,0
4.198483000,0,0,0,0,1,1,0,0
4.198535000,1,1,0,0,1,1,0,0
4.198561000,0,0,0,0,1,1,0,0
4.198587000,1,1,0,0,1,1,0,0
4.198769000,0,0,0,0,1,1,0,0
4.198822000,1,1,0,0,1,1,0,0
4.199056000,0,0,0,0,1,1,0,0
4.199108000,1,0,0,0,1,1,0,0
4.199109000,1,1,0,0,1,1,0,0
4.199134000,0,0,0,0,1,1,0,0
4.199160000,1,0,0,0,1,1,0,0
4.199161000,1,1,0,0,1,1,0,0
4.199343000,0,0,0,0,1,1,0,0
4.199395000,1,1,0,0,1,1,0,0
4.199473000,0,0,0,0,1,1,0,0
4.199499000,1,0,0,0,1,1,0,0
4.199500000,1,1,0,0,1,1,0,0
4.199525000,0,0,0,0,1,1,0,0
4.199551000,1,0,0,0,1,1,0,0
4.199552000,1,1,0,0,1,1,0,0
4.199577000,0,0,0,0,1,1,0,0
4.199682000,1,1,0,0,1,1,0,0
4.199760000,0,0,0,0,1,1,0,0
4.199812000,1,1,0,0,1,1,0,0
4.199838000,0,0,0,0,1,1,0,0
4.199890000,1,1,0,0,1,1,0,0
4.199916000,0,0,0,0,1,1,0,0
4.202116000,0,1,1,1,1,1,1,1
4.202142000,0,0,0,0,1,1,1,0
4.202143000,0,0,0,0,1,1,0,0
4.202298000,0,0,0,1,1,1,0,0
4.202299000,0,1,1,1,1,1,1,1
4.202350000,0,0,1,0,1,1,1,1
4.202351000,0,0,0,0,1,1,0,0
4.202377000,0,1,1,1,1,1,1,1
4.202402000,0,0,1,1,1,1,1,1
4.202403000,0,0,0,0,1,1,1,0
4.202404000,0,0,0,0,1,1,0,0
4.202455000,0,1,1,1,1,1,1,1
4.202611000,0,0,0,0,1,1,1,0
4.202612000,0,0,0,0,1,1,0,0
4.202637000,0,0,0,1,1,1,0,0
4.202638000,0,1,1,1,1,1,1,1
4.202689000,0,0,1,0,1,1,1,1
4.202690000,0,0,0,0,1,1,0,0
4.202716000,0,1,1,1,1,1,1,1
4.202872000,0,0,0,0,1,1,1,0
4.202873000,0,0,0,0,1,1,0,0
4.202898000,0,0,1,1,1,1,1,1
4.202899000,0,1,1,1,1,1,1,1
4.203054000,0,0,1,0,1,1,1,1
4.203055000,0,0,0,0,1,1,0,0
4.203107000,0,1,1,1,1,1,1,1
4.203132000,0,0,1,0,1,1,1,1
4.203133000,0,0,0,0,1,1,0,0
4.203159000,0,1,1,1,1,1,1,1
4.203341000,0,0,0,0,1,1,1,0
4.203342000,0,0,0,0,1,1,0,0
4.203419000,0,0,0,1,1,1,0,0
4.203420000,0,1,1,1,1,1,1,1
4.203445000,0,0,1,0,1,1,1,1
4.203446000,0,0,0,0,1,1,0,0
4.203471000,0,0,0,1,1,1,0,0
4.203472000,0,1,1,1,1,1,1,1
